_id,box_color,filter_color,id_product,is_restaurant,min_quantity,mrp,mycart,offer,realization,selling_price,size,size_measuring_unit,sku,stock,tax,p__id,p_actual_price,p_article_no,p_brand,p_category1,p_category1_id,p_category2,p_category2_id,p_category3,p_category3_id,p_description,p_id_category,p_mrp,p_name,p_pic,p_selling_price,p_spec,p_tags,p_wishlist
2118849,,,58013,0,1,99,0,,70,99.0,1 KG,,1005859,266,0,58013,0,800010700,NAMDHARI,Fruits and Vegetables,1,Mango Bazar,1009,Mango Bazar,1010,MANGO MALLIKA,1010,0,MANGO MALLIKA,"[{'_id': '97538', 'pic': 'uploads/product/mango_malikka.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1238149', 'specification': 'Description', 'value': 'MANGO MALLIKA'}]",MANGO MALLIKA,0
2118864,,,56232,0,1,20,0,,17,20.0,250 GM,,1004066,237,0,56232,0,800010700,NAMDHARI,Fruits and Vegetables,1,Fresh Vegetables,29,LEAFY VEGETABLES,37,PALAK LEAF,37,0,PALAK LEAF,"[{'_id': '72102', 'pic': 'uploads/product/palak_new.jpg', 'pic_thumb': ''}, {'_id': '79418', 'pic': 'uploads/product/201636.png', 'pic_thumb': ''}, {'_id': '82600', 'pic': 'uploads/product/201636.png', 'pic_thumb': ''}, {'_id': '85782', 'pic': 'uploads/product/201636.png', 'pic_thumb': ''}, {'_id': '88964', 'pic': 'uploads/product/201636.png', 'pic_thumb': ''}]",0,"[{'_id': '1016037', 'specification': 'Benefits', 'value': 'Great source of iron, insoluble fibres, vitamin A, C and Zinc. Helps improve heart health, good for eyes, good energy booster and diabetic friendly.'}, {'_id': '1205162', 'specification': 'Description', 'value': 'PALAK LEAF'}]",PALAK LEAF,0
2118850,,,58017,0,1,50,0,,40,50.0,1 KG,,1005863,209,0,58017,0,800010700,NAMDHARI,Fruits and Vegetables,1,Mango Bazar,1009,Mango Bazar,1010,MANGO SINDHURAN,1010,0,MANGO SINDHURAN,"[{'_id': '97545', 'pic': 'uploads/product/mango_sendhura.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1238574', 'specification': 'Description', 'value': 'MANGO SINDHURAN'}, {'_id': '1238579', 'specification': 'About', 'value': ""Popular for its sweet fragrance & delicious taste, Mango-Sindhuran easily finds its way to fruit salads, juices, aam ras and ice cream. These mangoes are small round in shape with beautiful red skin & sweet yellow pulpy texture. At Namdhari's we get you finest quality mangoes ripened using purely natural techniques without carbide or any other harmful chemicals.""}]",MANGO SINDHURAN,0
2118845,,,58002,0,1,99,0,,65,99.0,1 KG,,1005847,202,0,58002,0,800010700,NAMDHARI,Fruits and Vegetables,1,Mango Bazar,1009,Mango Bazar,1010,MANGO ALPHANSO,1010,0,MANGO ALPHANSO,"[{'_id': '97358', 'pic': 'uploads/product/mango_alphonso.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1238570', 'specification': 'Description', 'value': 'MANGO ALPHANSO'}, {'_id': '1238584', 'specification': 'About', 'value': ""Summer is finally here & with it, the wait for King of fruits - Mango is finally over. The shiny yellow skin with a hint of red, the succulent texture, sweet & tart taste & flavour of Alphanso is nothing short of true pleasure.  At Namdhari's we bring you best quality naturally riped mangoes that are great to taste & safe for consumption. Alphonso mango is rich in antioxidants & a huge source of iron.  Keep it in a cool dry place away from direct sunlight for longer shelf life.""}]",MANGO ALPHANSO,0
2126568,,,61602,0,1,30,0,,28,30.0,1 KG,,2126088,199,0,61602,0,800010700,NAMDHARI,Fruits and Vegetables,1,Exotic Fruits & Vegetables,736,EXOTIC VEGETABLES,737,Tomatopremium -Salad,737,0,Tomatopremium -Salad,"[{'_id': '96146', 'pic': 'uploads/product/201674.jpg', 'pic_thumb': ''}]",0,"[{'_id': '1015995', 'specification': 'Benefits', 'value': 'Tomatoes are the major source of antioxidants, vitamin C, K, folate. Tomatoes are believed to reduce the risk of cancer and heart disease.'}, {'_id': '1015996', 'specification': 'Recipes', 'value': 'You can use these to make a healthy and wholesome salad, use it in toppings for pizza, roast it with other exotic vegetables. The sweet intensive taste of these premium tomatoes adds a flavour and texture of any dish.'}, {'_id': '1204997', 'specification': 'Description', 'value': 'Tomatopremium -Salad'}]",Tomatopremium -Salad,0
2118755,,,54239,0,1,30,0,,26,30.0,1 KG(APPROX 6 TO 7 PCS),,1003862,192,0,54239,0,800010700,NAMDHARI,Fruits and Vegetables,1,Fresh Fruits,10,"BANANA, GUAVA & SAPOTA",12,BANANA ROBUSTA,12,0,BANANA ROBUSTA,"[{'_id': '96339', 'pic': 'uploads/product/1003862_a.png', 'pic_thumb': ''}]",0,"[{'_id': '284680', 'specification': 'How To Use', 'value': 'It may be eaten in their whole form, sliced and added to fruit salad, your breakfast cereal or mashed and added to muffin and bread recipes. Use mashed bananas to substitute for butter or oil when making cookies to make it healthier.'}, {'_id': '284681', 'specification': 'Benefits', 'value': 'The natural sugars in bananas , sucrose, fructose and glucose along with fiber in a banana gives an instant, sustained and substantial boost of energy. It is easy to digest food and reduces irritation by coating the lining of the stomach and soothes ulcer'}, {'_id': '284682', 'specification': 'About', 'value': 'Robusta Semi Ripe Bananas are around 6-7 inches long. Robusta has a dissimilar sweet flavor, good smell and the texture is mushy and smooth. They come neatly filled in their own wrapper, want not be washed before eating and are very moveable too. One bana'}, {'_id': '1238122', 'specification': 'Description', 'value': 'BANANA ROBUSTA'}]",BANANA ROBUSTA,0
2118756,,,54239,0,1,15,0,,13,15.0,500 GM(APPROX 3 TO 4 PCS),,1003863,385,0,54239,0,800010700,NAMDHARI,Fruits and Vegetables,1,Fresh Fruits,10,"BANANA, GUAVA & SAPOTA",12,BANANA ROBUSTA,12,0,BANANA ROBUSTA,"[{'_id': '96339', 'pic': 'uploads/product/1003862_a.png', 'pic_thumb': ''}]",0,"[{'_id': '284680', 'specification': 'How To Use', 'value': 'It may be eaten in their whole form, sliced and added to fruit salad, your breakfast cereal or mashed and added to muffin and bread recipes. Use mashed bananas to substitute for butter or oil when making cookies to make it healthier.'}, {'_id': '284681', 'specification': 'Benefits', 'value': 'The natural sugars in bananas , sucrose, fructose and glucose along with fiber in a banana gives an instant, sustained and substantial boost of energy. It is easy to digest food and reduces irritation by coating the lining of the stomach and soothes ulcer'}, {'_id': '284682', 'specification': 'About', 'value': 'Robusta Semi Ripe Bananas are around 6-7 inches long. Robusta has a dissimilar sweet flavor, good smell and the texture is mushy and smooth. They come neatly filled in their own wrapper, want not be washed before eating and are very moveable too. One bana'}, {'_id': '1238122', 'specification': 'Description', 'value': 'BANANA ROBUSTA'}]",BANANA ROBUSTA,0
2118872,,,54370,0,1,34,0,,10.5,30.0,1 KG(APPROX 10 TO 12 PCS),,1004099,190,0,54370,0,800010700,NAMDHARI,Fruits and Vegetables,1,Fresh Vegetables,29,"ONION, POTATO & TOMATOES",38,POTATO 1KG,38,0,Potato 1Kg,"[{'_id': '97657', 'pic': 'uploads/product/potato-1.jpg', 'pic_thumb': ''}, {'_id': '97658', 'pic': 'uploads/product/201921.png', 'pic_thumb': ''}, {'_id': '97659', 'pic': 'uploads/product/201921.png', 'pic_thumb': ''}, {'_id': '97660', 'pic': 'uploads/product/201921.png', 'pic_thumb': ''}, {'_id': '97661', 'pic': 'uploads/product/201921.png', 'pic_thumb': ''}, {'_id': '97662', 'pic': 'uploads/product/1004099.jpg', 'pic_thumb': ''}]",0,"[{'_id': '282771', 'specification': 'About', 'value': 'Potato is a starchy, root vegetable and is the fourth largest crop in terms of fresh produce. It has excellent nutritional value and is an important part of the diet in many countries. Potato is rich in Carbohydrates, proteins, vitamins (especially Vitamin C and Vitamin B6) and minerals (especially Potassium and Iron). Cooking potatoes in their skin tends to result in less leaching of minerals and vitamins.'}, {'_id': '1011514', 'specification': 'Benefits', 'value': 'Potatoes due to its calcium, iron, phosphorus, and zinc-rich nutrient composition help prevent osteoporosis. The fibre, potassium, Vitamin C, and Vitamin B6 content aid in reducing cholesterol, thereby, decrease the risk of heart disease.'}, {'_id': '1014515', 'specification': 'Storage and Use', 'value': 'Potatoes are best placed in a well-ventilated container stored in a dry location, away from sunlight.   Potatoes can be prepared in many ways, including, baked, boiled and steamed. Potato can be sliced and roasted in the oven. To ensure you receive the maximum amount of nutrients from the Potato, boil it without peeling the skin.'}, {'_id': '1014516', 'specification': 'Scientific Name', 'value': 'Solanum tuberosum'}, {'_id': '1205166', 'specification': 'Description', 'value': 'POTATO'}]",POTATO,0
2118815,,,54279,0,1,24,0,,28,24.0,1 KG(APPROX 5 TO 6 PCS),,1003930,183,0,54279,0,800010700,NAMDHARI,Fruits and Vegetables,1,Fresh Vegetables,29,OTHER VEGETABLES,574,CUCUMBER REGULAR,574,0,CUCUMBER REGULAR,"[{'_id': '96367', 'pic': 'uploads/product/1003930_a.png', 'pic_thumb': ''}]",0,"[{'_id': '282504', 'specification': 'How To Use', 'value': 'It is used as a popular fresh vegetable in a variety of salads & sandwiches. It can simply be salted and eaten fresh as well.'}, {'_id': '282505', 'specification': 'Benefits', 'value': 'Cucumber is known to contain lignins that reduces risk of several cancer types including breast, ovarian, uterine and prostate cancers. Cucumbers contain 95 percent water, which keeps the body hydrated. Cucumbers have been used for ages in daily skin care'}, {'_id': '282506', 'specification': 'About', 'value': 'Hybrid cucumber contains a striped light-dark green colored outer skin that can be peeled off or consumed. The flesh is watery and crunchy. It is an extremely good source of vitamins and minerals. It is low in calories and high in water content. Product i'}, {'_id': '1205150', 'specification': 'Description', 'value': 'CUCUMBER REGULAR'}]",CUCUMBER REGULAR,0
2118816,,,54279,0,1,12,0,,14,12.0,500 GM(APPROX 2 TO 3 PCS),,1003931,368,0,54279,0,800010700,NAMDHARI,Fruits and Vegetables,1,Fresh Vegetables,29,OTHER VEGETABLES,574,CUCUMBER REGULAR,574,0,CUCUMBER REGULAR,"[{'_id': '96367', 'pic': 'uploads/product/1003930_a.png', 'pic_thumb': ''}]",0,"[{'_id': '282504', 'specification': 'How To Use', 'value': 'It is used as a popular fresh vegetable in a variety of salads & sandwiches. It can simply be salted and eaten fresh as well.'}, {'_id': '282505', 'specification': 'Benefits', 'value': 'Cucumber is known to contain lignins that reduces risk of several cancer types including breast, ovarian, uterine and prostate cancers. Cucumbers contain 95 percent water, which keeps the body hydrated. Cucumbers have been used for ages in daily skin care'}, {'_id': '282506', 'specification': 'About', 'value': 'Hybrid cucumber contains a striped light-dark green colored outer skin that can be peeled off or consumed. The flesh is watery and crunchy. It is an extremely good source of vitamins and minerals. It is low in calories and high in water content. Product i'}, {'_id': '1205150', 'specification': 'Description', 'value': 'CUCUMBER REGULAR'}]",CUCUMBER REGULAR,0
