Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
Sunreap Maida 500g,Spencers,Grocery & Staples,500.0,gm,24.0,24.0,0.0
Sunreap Maida 1kg,Spencers,Grocery & Staples,1.0,kg,47.0,45.0,4.26
Sunreap Atta Whole Wheat 1kg,Spencers,Grocery & Staples,1.0,kg,40.0,40.0,0.0
Sunreap Atta Whole Wheat 5kg,Spencers,Grocery & Staples,5.0,kg,185.0,175.0,5.41
Aashirvaad Natures Gluten Free Flr 1kg,Spencers,Grocery & Staples,1.0,kg,190.0,95.0,50.0
Organic Tattva Ragi Flour 500g,Spencers,Grocery & Staples,500.0,gm,70.0,70.0,0.0
Double Horse Idli Mix 500g,Spencers,Grocery & Staples,500.0,gm,78.0,78.0,0.0
Shyam's Agro fresh Sooji 500g,Spencers,Grocery & Staples,500.0,gm,25.0,20.0,20.0
Agro Fresh Sattu 200g,Spencers,Grocery & Staples,200.0,gm,50.0,40.0,20.0
Shyam's Agro Fresh Chana Besan 500g,Spencers,Grocery & Staples,500.0,gm,80.0,64.0,20.0
Whole Foods Soya Besan Methi Roti Mix 500g,Spencers,Grocery & Staples,500.0,gm,135.0,135.0,0.0
Double Horse Palada Payasam Mix 300g,Spencers,Grocery & Staples,300.0,gm,87.0,87.0,0.0
Double Horse Rawa Fried 1kg,Spencers,Grocery & Staples,1.0,kg,110.0,110.0,0.0
Shyam's Agro fresh Sattu 500g,Spencers,Grocery & Staples,500.0,gm,120.0,96.0,20.0
Shyam's Agro fresh Whole Wheat Atta 5kg,Spencers,Grocery & Staples,5.0,kg,190.0,135.0,28.95
Shyam's Agro Fresh Maida 500g,Spencers,Grocery & Staples,500.0,gm,24.0,19.2,20.0
Shyam's Agro fresh Maida 1Kg,Spencers,Grocery & Staples,1.0,kg,48.0,36.0,25.0
Shyam's Agro fresh Whole Wheat Atta 1kg,Spencers,Grocery & Staples,1.0,kg,40.0,34.0,15.0
Manna Dia Mix 400g,Spencers,Grocery & Staples,400.0,gm,240.0,240.0,0.0
Aashirvaad Atta Sugar Release Cntrl 1kg,Spencers,Grocery & Staples,1.0,kg,62.0,52.0,16.13
Aashirvaad Atta Multi Grain 5kg,Spencers,Grocery & Staples,5.0,kg,295.0,275.0,6.78
Aashirvaad Atta Multi Grain 1kg,Spencers,Grocery & Staples,1.0,kg,60.0,60.0,0.0
Aashirvaad Atta Select 1kg,Spencers,Grocery & Staples,1.0,kg,59.0,59.0,0.0
Pillsbury Atta Whole Wheat 5kg,Spencers,Grocery & Staples,5.0,kg,180.0,145.0,19.44
Pillsbury Atta Whole Wheat 1kg,Spencers,Grocery & Staples,1.0,kg,39.0,37.0,5.13
Aashirvaad Atta Whole Wheat 5kg,Spencers,Grocery & Staples,5.0,kg,213.0,191.0,10.33
Aashirvaad Atta Whole Wheat 10kg,Spencers,Grocery & Staples,10.0,kg,405.0,370.0,8.64
MTR Vada Mix Instant 200g,Spencers,Grocery & Staples,200.0,gm,95.0,95.0,0.0
Aashirvaad Atta Whole Wheat 1kg,Spencers,Grocery & Staples,1.0,kg,42.0,42.0,0.0
Sunreap Besan - gram Flour 200g,Spencers,Grocery & Staples,200.0,gm,27.0,27.0,0.0
Kohinoor Tibar Basmati Rice  5kg,Spencers,Grocery & Staples,5.0,kg,670.0,635.0,5.22
Organic Tattva Basmati Rice Brown 1kg,Spencers,Grocery & Staples,1.0,kg,230.0,230.0,0.0
Organic Tattva Mix Dal 500g,Spencers,Grocery & Staples,500.0,gm,120.0,120.0,0.0
Kohinoor Biriyani Kit Hydrabadi 327G,Spencers,Grocery & Staples,327.0,gm,125.0,125.0,0.0
Kohinoor Dubar Basmati Rice  1kg,Spencers,Grocery & Staples,1.0,kg,125.0,119.0,4.8
Kohinoor Tibar Basmati Rice  1kg,Spencers,Grocery & Staples,1.0,kg,135.0,129.0,4.44
Kohinoor Charminar Brown Basmati 1kg,Spencers,Grocery & Staples,1.0,kg,109.0,99.0,9.17
Spencers Chamarmani Rice Loose 1kg,Spencers,Grocery & Staples,1.0,kg,59.0,53.0,10.17
Kohinoor Rozana Basmati Rice   5kg,Spencers,Grocery & Staples,5.0,kg,515.0,439.0,14.76
Trusted Value Premium Tulsibhog Rice 1kg,Spencers,Grocery & Staples,1.0,kg,60.0,53.0,11.67
Spencer's Premium Biryani Rice 1kg,Spencers,Grocery & Staples,1.0,kg,120.0,99.0,17.5
Trusted Value Premium Miniket Rice 1kg,Spencers,Grocery & Staples,1.0,kg,52.0,49.0,5.77
Trusted Value Premium Miniket Rice 500g,Spencers,Grocery & Staples,500.0,gm,26.0,24.5,5.77
Trusted Value Regular Miniket Rice 1kg,Spencers,Grocery & Staples,1.0,kg,50.0,43.0,14.0
Trusted Value Regular Miniket Rice 500g,Spencers,Grocery & Staples,500.0,gm,25.0,21.5,14.0
Trusted Value Regular Bashkathi Rice 1kg,Spencers,Grocery & Staples,1.0,kg,63.0,51.0,19.05
Trusted Value Regular Bashkathi Rice 500g,Spencers,Grocery & Staples,500.0,gm,31.5,25.5,19.05
Premium Sona Masoori Rice 1kg,Spencers,Grocery & Staples,1.0,kg,69.0,51.0,26.09
Premium Sona Masoori Rice 500g,Spencers,Grocery & Staples,500.0,gm,34.5,25.5,26.09
Trusted Value Premium Tulsibhog Rice 500g,Spencers,Grocery & Staples,500.0,gm,30.0,26.5,11.67
Spencer's Premium Biryani Rice 500g,Spencers,Grocery & Staples,500.0,gm,60.0,49.5,17.5
Premium Sharbati Sella Rice 1kg,Spencers,Grocery & Staples,1.0,kg,98.0,69.0,29.59
Premium Sharbati Sella Rice 500g,Spencers,Grocery & Staples,500.0,gm,49.0,34.5,29.59
Trusted Value Premium Basmati Sella Rice 1kg,Spencers,Grocery & Staples,1.0,kg,93.0,82.0,11.83
Trusted Value Premium Basmati Sella Rice 500g,Spencers,Grocery & Staples,500.0,gm,46.5,41.0,11.83
Trusted Value Premium 1121 Basmati Rice 1kg,Spencers,Grocery & Staples,1.0,kg,120.0,95.0,20.83
Trusted Value Premium 1121 Basmati Rice 500g,Spencers,Grocery & Staples,500.0,gm,60.0,47.5,20.83
Kohinoor Super Basmati Rice  1kg,Spencers,Grocery & Staples,1.0,kg,169.0,155.0,8.28
Smart Choice Bashkati Rice Premium 1kg,Spencers,Grocery & Staples,1.0,kg,60.0,60.0,0.0
Smart Choice Miniket Rice 1kg,Spencers,Grocery & Staples,1.0,kg,48.0,48.0,0.0
Smart Choice Bashkati Rice 2kg,Spencers,Grocery & Staples,2.0,kg,120.0,120.0,0.0
Smart Choice Tulsibhog Rice 2kg,Spencers,Grocery & Staples,2.0,kg,140.0,115.0,17.86
Smart Choice Chamarmani Rice 2kg,Spencers,Grocery & Staples,2.0,kg,145.0,120.0,17.24
Smart Choice Daliya 500g,Spencers,Grocery & Staples,500.0,gm,30.0,30.0,0.0
Shyam's Agro Fresh Dalia 500g,Spencers,Grocery & Staples,500.0,gm,35.0,28.0,20.0
Lalbaba Miniket Rice 25kg,Spencers,Grocery & Staples,25.0,kg,1300.0,1199.0,7.77
Atal Miniket Rice 25kg,Spencers,Grocery & Staples,25.0,kg,1450.0,1249.0,13.86
Daawat Popular Basmati Sella Rice  10kg,Spencers,Grocery & Staples,10.0,kg,971.0,799.0,17.71
Sublabh Bashkati Rice Premium 25kg,Spencers,Grocery & Staples,25.0,kg,1900.0,1499.0,21.11
Smart Choice Gobindo Bhog Rice 5kg,Spencers,Grocery & Staples,5.0,kg,595.0,595.0,0.0
Smart Choice Gobindo Bhog Rice 2kg,Spencers,Grocery & Staples,2.0,kg,240.0,207.0,13.75
Smart Choice Gobindo Bhog Rice 1kg,Spencers,Grocery & Staples,1.0,kg,115.0,115.0,0.0
Smart Choice Bashkati Rice 20kg,Spencers,Grocery & Staples,20.0,kg,1100.0,1100.0,0.0
Smart Choice Bashkati Rice 5kg,Spencers,Grocery & Staples,5.0,kg,280.0,280.0,0.0
Smart Choice Jeerakati Rice 2kg,Spencers,Grocery & Staples,2.0,kg,195.0,195.0,0.0
Spencer's Smart Choice Classic Basmati Rice 5kg,Spencers,Grocery & Staples,5.0,kg,950.0,950.0,0.0
Shellys Gobindo Bhog Rice 1kg,Spencers,Grocery & Staples,1.0,kg,140.0,140.0,0.0
Best Fine Indian Rice Special 5kg,Spencers,Grocery & Staples,5.0,kg,750.0,225.0,70.0
Best Fine Indian Rice Special 1kg,Spencers,Grocery & Staples,1.0,kg,160.0,45.0,71.88
Double Horse Red Aval 500g,Spencers,Grocery & Staples,500.0,gm,74.0,74.0,0.0
Fortune Super Basmati Rice  5kg,Spencers,Grocery & Staples,5.0,kg,840.0,759.0,9.64
Aeroplane Season Indian Rice  5kg,Spencers,Grocery & Staples,5.0,kg,400.0,279.0,30.25
Shellys Gobindo Bhog Rice 500g,Spencers,Grocery & Staples,500.0,gm,75.0,70.0,6.67
Kohinoor Brown Healthy Basmati Jar 1kg,Spencers,Grocery & Staples,1.0,kg,179.0,155.0,13.41
Daawat Rozana Gold Basmati Rice  5kg,Spencers,Grocery & Staples,5.0,kg,495.0,469.0,5.25
Kohinoor Traditional Basmati Rice  5kg,Spencers,Grocery & Staples,5.0,kg,1055.0,929.0,11.94
Kohinoor Charminar Basmati Rice  1kg,Spencers,Grocery & Staples,1.0,kg,115.0,109.0,5.22
Patanjali Dalia 500g,Spencers,Grocery & Staples,500.0,gm,25.0,25.0,0.0
Organic India Quinoa 500g,Spencers,Grocery & Staples,500.0,gm,295.0,295.0,0.0
Daawat Pulav Basmati Rice  5kg,Spencers,Grocery & Staples,5.0,kg,600.0,585.0,2.5
Tata Sampann Chawli - Lobia 500g,Spencers,Grocery & Staples,500.0,gm,66.0,66.0,0.0
Organic Tattva Chana Dal 500g,Spencers,Grocery & Staples,500.0,gm,95.0,95.0,0.0
Spencer's Smart Choice Navratna Dal 1kg,Spencers,Grocery & Staples,1.0,kg,215.0,120.0,44.19
Spencer's Smart Choice Regular Moong Dal Dhuli 1kg,Spencers,Grocery & Staples,1.0,kg,149.0,139.0,6.71
Spencer's Smart Choice Navratna Dal 500g,Spencers,Grocery & Staples,500.0,gm,107.5,60.0,44.19
Spencer's Smart Choice Regular Moong Dal Dhuli 500g,Spencers,Grocery & Staples,500.0,gm,74.5,69.5,6.71
Premium Moong Dal 1kg,Spencers,Grocery & Staples,1.0,kg,209.0,165.0,21.05
Premium Moong Dal 500g,Spencers,Grocery & Staples,500.0,gm,104.5,82.5,21.05
Spencer's Smart Choice Chana Dal 1kg,Spencers,Grocery & Staples,1.0,kg,126.0,91.0,27.78
Spencer's Smart Choice Chana Dal 500g,Spencers,Grocery & Staples,500.0,gm,63.0,45.5,27.78
Premium Arhar Dal 1kg,Spencers,Grocery & Staples,1.0,kg,188.0,125.0,33.51
Premium Arhar Dal 500g,Spencers,Grocery & Staples,500.0,gm,94.0,62.5,33.51
Regular Arhar Dal 1kg,Spencers,Grocery & Staples,1.0,kg,139.0,126.0,9.35
Regular Arhar Dal 500g,Spencers,Grocery & Staples,500.0,gm,69.5,63.0,9.35
Premium Masoor Dal 1kg,Spencers,Grocery & Staples,1.0,kg,131.0,112.0,14.5
Premium Masoor Dal 500g,Spencers,Grocery & Staples,500.0,gm,65.5,56.0,14.5
Smart Choice Chana Dal 1kg,Spencers,Grocery & Staples,1.0,kg,135.0,103.0,23.7
Smart Choice Masoor Dal Red 500g,Spencers,Grocery & Staples,500.0,gm,90.0,80.0,11.11
Double Tick Masoor Malka 2kg,Spencers,Grocery & Staples,2.0,kg,256.0,230.0,10.16
Double Tick Masoor Malka 1kg,Spencers,Grocery & Staples,1.0,kg,135.0,116.0,14.07
Mark Premium Moong Chilka 500g,Spencers,Grocery & Staples,500.0,gm,79.0,79.0,0.0
Mark Premium Masoor Special 500g,Spencers,Grocery & Staples,500.0,gm,72.0,72.0,0.0
Smart Choice Sona Moong Dal 500g,Spencers,Grocery & Staples,500.0,gm,137.0,87.0,36.5
Tata Sampann Chana Dal 1kg,Spencers,Grocery & Staples,1.0,kg,125.0,125.0,0.0
Tata Sampann Chana Dal 500g,Spencers,Grocery & Staples,500.0,gm,58.0,58.0,0.0
Smart Choice Masoor Dal Red 1kg,Spencers,Grocery & Staples,1.0,kg,163.0,158.0,3.07
Smart Choice Masoor Malka 1kg,Spencers,Grocery & Staples,1.0,kg,137.0,124.0,9.49
