,Product Org,Product ID,Product,Category,Subcategory,Price ID,Price Type,Price,Special Price ID,Special Price Type,Special Price
0,Spencers,39087,Sunreap Maida 500g,groceries-staples,flour-atta,product-price-39087,finalPrice,₹24,product-price-39087,finalPrice,₹24
1,Spencers,39086,Sunreap Maida 1kg,groceries-staples,flour-atta,old-price-39086,oldPrice,₹47,product-price-39086,finalPrice,₹45
2,Spencers,39085,Sunreap Atta Whole Wheat 1kg,groceries-staples,flour-atta,product-price-39085,finalPrice,₹40,product-price-39085,finalPrice,₹40
3,Spencers,39084,Sunreap Atta Whole Wheat 5kg,groceries-staples,flour-atta,old-price-39084,oldPrice,₹185,product-price-39084,finalPrice,₹175
4,Spencers,38302,Aashirvaad Natures Gluten Free Flr 1kg,groceries-staples,flour-atta,old-price-38302,oldPrice,₹190,product-price-38302,finalPrice,₹95
5,Spencers,37412,Organic Tattva Ragi Flour 500g,groceries-staples,flour-atta,product-price-37412,finalPrice,₹70,product-price-37412,finalPrice,₹70
6,Spencers,29420,Double Horse Idli Mix 500g,groceries-staples,flour-atta,product-price-29420,finalPrice,₹78,product-price-29420,finalPrice,₹78
7,Spencers,21615,Shyam's Agro fresh Sooji 500g,groceries-staples,flour-atta,old-price-21615,oldPrice,₹25,product-price-21615,finalPrice,₹20
8,Spencers,21610,Agro Fresh Sattu 200g,groceries-staples,flour-atta,old-price-21610,oldPrice,₹50,product-price-21610,finalPrice,₹40
9,Spencers,21592,Shyam's Agro Fresh Chana Besan 500g,groceries-staples,flour-atta,old-price-21592,oldPrice,₹80,product-price-21592,finalPrice,₹64
10,Spencers,20244,Whole Foods Soya Besan Methi Roti Mix 500g,groceries-staples,flour-atta,product-price-20244,finalPrice,₹135,product-price-20244,finalPrice,₹135
11,Spencers,20157,Double Horse Idli Mix 500g,groceries-staples,flour-atta,product-price-20157,finalPrice,₹78,product-price-20157,finalPrice,₹78
12,Spencers,19771,Double Horse Palada Payasam Mix 300g,groceries-staples,flour-atta,product-price-19771,finalPrice,₹87,product-price-19771,finalPrice,₹87
13,Spencers,19769,Double Horse Rawa Fried 1kg,groceries-staples,flour-atta,product-price-19769,finalPrice,₹110,product-price-19769,finalPrice,₹110
14,Spencers,19148,Shyam's Agro fresh Sattu 500g,groceries-staples,flour-atta,old-price-19148,oldPrice,₹120,product-price-19148,finalPrice,₹96
15,Spencers,19146,Shyam's Agro fresh Whole Wheat Atta 5kg,groceries-staples,flour-atta,old-price-19146,oldPrice,₹190,product-price-19146,finalPrice,₹135
16,Spencers,18996,Shyam's Agro Fresh Maida 500g,groceries-staples,flour-atta,old-price-18996,oldPrice,₹24,product-price-18996,finalPrice,₹19.20
17,Spencers,18342,Shyam's Agro fresh Maida 1Kg,groceries-staples,flour-atta,old-price-18342,oldPrice,₹48,product-price-18342,finalPrice,₹36
18,Spencers,18341,Shyam's Agro fresh Whole Wheat Atta 1kg,groceries-staples,flour-atta,old-price-18341,oldPrice,₹40,product-price-18341,finalPrice,₹34
19,Spencers,14115,Manna Dia Mix 400g,groceries-staples,flour-atta,product-price-14115,finalPrice,₹240,product-price-14115,finalPrice,₹240
20,Spencers,8067,Aashirvaad Atta Sugar Release Cntrl 1kg,groceries-staples,flour-atta,old-price-8067,oldPrice,₹62,product-price-8067,finalPrice,₹52
21,Spencers,6332,Aashirvaad Atta Multi Grain 5kg,groceries-staples,flour-atta,old-price-6332,oldPrice,₹295,product-price-6332,finalPrice,₹275
22,Spencers,6331,Aashirvaad Atta Multi Grain 1kg,groceries-staples,flour-atta,product-price-6331,finalPrice,₹60,product-price-6331,finalPrice,₹60
23,Spencers,5489,Aashirvaad Atta Select 1kg,groceries-staples,flour-atta,product-price-5489,finalPrice,₹59,product-price-5489,finalPrice,₹59
24,Spencers,5230,Pillsbury Atta Whole Wheat 5kg,groceries-staples,flour-atta,old-price-5230,oldPrice,₹180,product-price-5230,finalPrice,₹145
25,Spencers,5229,Pillsbury Atta Whole Wheat 1kg,groceries-staples,flour-atta,old-price-5229,oldPrice,₹39,product-price-5229,finalPrice,₹37
26,Spencers,5227,Aashirvaad Atta Whole Wheat 5kg,groceries-staples,flour-atta,old-price-5227,oldPrice,₹213,product-price-5227,finalPrice,₹191
27,Spencers,5225,Aashirvaad Atta Whole Wheat 10kg,groceries-staples,flour-atta,old-price-5225,oldPrice,₹405,product-price-5225,finalPrice,₹370
28,Spencers,4642,MTR Vada Mix Instant 200g,groceries-staples,flour-atta,product-price-4642,finalPrice,₹95,product-price-4642,finalPrice,₹95
29,Spencers,5226,Aashirvaad Atta Whole Wheat 1kg,groceries-staples,flour-atta,product-price-5226,finalPrice,₹42,product-price-5226,finalPrice,₹42
30,Spencers,39090,Sunreap Besan - gram Flour 200g,groceries-staples,flour-atta,product-price-39090,finalPrice,₹27,product-price-39090,finalPrice,₹27
31,Spencers,5230,Pillsbury Atta Whole Wheat 5kg,groceries-staples,flour-atta,old-price-5230,oldPrice,₹180,product-price-5230,finalPrice,₹145
32,Spencers,5229,Pillsbury Atta Whole Wheat 1kg,groceries-staples,flour-atta,old-price-5229,oldPrice,₹39,product-price-5229,finalPrice,₹37
33,Spencers,5227,Aashirvaad Atta Whole Wheat 5kg,groceries-staples,flour-atta,old-price-5227,oldPrice,₹213,product-price-5227,finalPrice,₹191
34,Spencers,5225,Aashirvaad Atta Whole Wheat 10kg,groceries-staples,flour-atta,old-price-5225,oldPrice,₹405,product-price-5225,finalPrice,₹370
35,Spencers,4642,MTR Vada Mix Instant 200g,groceries-staples,flour-atta,product-price-4642,finalPrice,₹95,product-price-4642,finalPrice,₹95
36,Spencers,5226,Aashirvaad Atta Whole Wheat 1kg,groceries-staples,flour-atta,product-price-5226,finalPrice,₹42,product-price-5226,finalPrice,₹42
37,Spencers,39090,Sunreap Besan - gram Flour 200g,groceries-staples,flour-atta,product-price-39090,finalPrice,₹27,product-price-39090,finalPrice,₹27
38,Spencers,5230,Pillsbury Atta Whole Wheat 5kg,groceries-staples,flour-atta,old-price-5230,oldPrice,₹180,product-price-5230,finalPrice,₹145
39,Spencers,5229,Pillsbury Atta Whole Wheat 1kg,groceries-staples,flour-atta,old-price-5229,oldPrice,₹39,product-price-5229,finalPrice,₹37
40,Spencers,5227,Aashirvaad Atta Whole Wheat 5kg,groceries-staples,flour-atta,old-price-5227,oldPrice,₹213,product-price-5227,finalPrice,₹191
41,Spencers,5225,Aashirvaad Atta Whole Wheat 10kg,groceries-staples,flour-atta,old-price-5225,oldPrice,₹405,product-price-5225,finalPrice,₹370
42,Spencers,4642,MTR Vada Mix Instant 200g,groceries-staples,flour-atta,product-price-4642,finalPrice,₹95,product-price-4642,finalPrice,₹95
43,Spencers,5226,Aashirvaad Atta Whole Wheat 1kg,groceries-staples,flour-atta,product-price-5226,finalPrice,₹42,product-price-5226,finalPrice,₹42
44,Spencers,39090,Sunreap Besan - gram Flour 200g,groceries-staples,flour-atta,product-price-39090,finalPrice,₹27,product-price-39090,finalPrice,₹27
45,Spencers,37985,Kohinoor Tibar Basmati Rice  5kg,groceries-staples,rice-cereals,old-price-37985,oldPrice,₹670,product-price-37985,finalPrice,₹635
46,Spencers,37447,Organic Tattva Basmati Rice Brown 1kg,groceries-staples,rice-cereals,product-price-37447,finalPrice,₹230,product-price-37447,finalPrice,₹230
47,Spencers,37433,Organic Tattva Mix Dal 500g,groceries-staples,rice-cereals,product-price-37433,finalPrice,₹120,product-price-37433,finalPrice,₹120
48,Spencers,37212,Kohinoor Biriyani Kit Hydrabadi 327G,groceries-staples,rice-cereals,product-price-37212,finalPrice,₹125,product-price-37212,finalPrice,₹125
49,Spencers,36614,Kohinoor Dubar Basmati Rice  1kg,groceries-staples,rice-cereals,old-price-36614,oldPrice,₹125,product-price-36614,finalPrice,₹119
