,Name,Brand,Category,Size,Unit,Price,SellingPrice,Discount
0,Chakki Atta Aashirvaad 10 Kg,storese,Grocery & Staples,10,kg,480,450,6.25
1,Atta Multi grain Aashirvaad 5 Kg,storese,Grocery & Staples,5,kg,310,295,4.84
2,Whole Wheat Atta Aashirvaad Select 5Kg,storese,Grocery & Staples,5,kg,300,285,5
3,Atta sugar release control Aashirvaad 1 kg,storese,Grocery & Staples,1,kg,64,61,4.69
4,Atta Multi grain Aashirvaad 1 kg,storese,Grocery & Staples,1,kg,62,59,4.84
5,Sunflower Oil  Dhara 5 Ltr,storese,Grocery & Staples,5,ltr,675,674,0.15
6,Rice Bran Oil PATANJALI 1 Ltr,storese,Grocery & Staples,1,ltr,115,109,5.22
7,Sunflower Oil Fortune 1 Ltr,storese,Grocery & Staples,1,ltr,132,124,6.06
8,Soya Oil Fortune 1 Ltr,storese,Grocery & Staples,1,ltr,135,124,8.15
9,Rice Bran Health Oil Fortune 1 Ltr,storese,Grocery & Staples,1,ltr,130,124,4.62
11,Oil Tasty Losorb Saffola 1 Ltr,storese,Grocery & Staples,1,ltr,120,114,5
12,Sunflower Oil Dhara 1 Ltr,storese,Grocery & Staples,1,ltr,130,129,0.77
13,Sugar Town 24Crt 1 Kg,storese,Grocery & Staples,1,kg,60,54,10
14,Sugar Town 18Crt 1 Kg,storese,Grocery & Staples,1,kg,52,47,9.62
15,Salt Powder Tata 1 Kg,storese,Grocery & Staples,1,kg,19,18,5.26
16,salt Iodized Aashirvaad 1 kg,storese,Grocery & Staples,1,kg,19,18,5.26
17,Salt Powder Lite (Low Sodium) Tata 1 Kg,storese,Grocery & Staples,1,kg,35,33,5.71
18,Rice Dosa Town 1kg,storese,Grocery & Staples,1,kg,53,48,9.43
19,Rice Idly staff Town 1 Kg,storese,Grocery & Staples,1,kg,54,49,9.26
20,Rice Idly Lb 10 Town 1 Kg,storese,Grocery & Staples,1,kg,60,54,10
21,Rice Idly Car (Salem Rice) Town 1 Kg,storese,Grocery & Staples,1,kg,66,59,10.61
22,Rice Raw Staff Town 1 Kg,storese,Grocery & Staples,1,kg,85,77,9.41
23,Rice Sona Raw 18 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,90,81,10
24,Rice Sona Raw 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,94,85,9.57
25,Rice Bullet (Kolam) Town 18 Crt 1 Kg,storese,Grocery & Staples,1,kg,104,94,9.62
26,Rice Sona Raw Unpolished Organic Town 1 Kg,storese,Grocery & Staples,1,kg,106,95,10.38
27,Rice Basmathi 18 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,186,167,10.22
28,Rice Sona Raw 18 Carat Town 5 Kg,storese,Grocery & Staples,5,kg,419,377,10.02
29,Rice Staff Town 25 Kg,storese,Grocery & Staples,25,kg,1350,1215,10
30,Unpolished Toor Dal Prasastha 1Kg,storese,Grocery & Staples,1,kg,140,133,5
31,Moong dal 24 Mantra organic 1 kg,storese,Grocery & Staples,1,kg,190,181,4.74
32,Toor Dal 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,160,144,10
33,Moong Dal 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,155,140,9.68
34,Gram Dal 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,31,28,9.68
35,Moong Dal Staff Town 250 Gms,storese,Grocery & Staples,250,gm,35,32,8.57
36,Masoor Dal 24 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,39,35,10.26
37,Moong Dal 18 Carat Town 250 Gms,storese,Grocery & Staples,250,gm,40,36,10
38,Masoor Dal Organic Town 250 Gms,storese,Grocery & Staples,250,gm,50,45,10
39,Toor Dal 24 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,68,61,10.29
40,Urad Dal 24 Carat Town 500 Gms,storese,Grocery & Staples,500,gm,70,63,10
41,Channa Dal Organic Town 500 Gms,storese,Grocery & Staples,500,gm,99,89,10.1
42,Moosor Dal Bodi Town 250 Gms,storese,Grocery & Staples,250,gm,156,140,10.26
44,Honey patanjali 250 gram,storese,Grocery & Staples,250,gm,75,71,5.33
45,Kashmiri Mirch Powder Catch 100Gms,storese,Grocery & Staples,100,gm,50,48,4
46,Chana Masala Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,62,59,4.84
47,Chunky chat Sabzi Masala Powder(Multi Purpose) MDH 100 Gms,storese,Grocery & Staples,100,gm,50,48,4
48,Kashmiri Mirch Chilli Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,56,53,5.36
49,Deggi Mirch Chilli Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,56,53,5.36
50,Curry Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,57,54,5.26
51,Chat Chunky Masala MDH 100 Gms,storese,Grocery & Staples,100,gm,62,59,4.84
52,Cumin Powder MDH 100 Grams,storese,Grocery & Staples,100,gm,67,60,10.45
53,Pav Bhaji Masala Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,64,61,4.69
54,Chicken Masala Powder MDH 100 Gms,storese,Grocery & Staples,100,gm,65,62,4.62
55,Kitchen King (Mixed Spices Powder) MDH 100 Gms,storese,Grocery & Staples,100,gm,66,63,4.55
56,Meat Ka Masala Powder (Mutton) MDH 100 Gms,storese,Grocery & Staples,100,gm,68,65,4.41
57,Cumin (Jeera) Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,51,48,5.88
58,Chaat Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,62,59,4.84
59,Dry Ginger Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,72,59,18.06
60,kasuri methi Everest 100 Gms,storese,Grocery & Staples,100,gm,84,60,28.57
61,Meat Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,72,68,5.56
62,Chicken Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,72,68,5.56
63,Garam Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,78,74,5.13
64,Coriander Powder Everest 500 Gms,storese,Grocery & Staples,500,gm,135,124,8.15
65,Turmeric Powder Everest 500 Gms,storese,Grocery & Staples,500,gm,135,124,8.15
66,Tikhalal (Red Chilli Powder) Everest 500 Gms,storese,Grocery & Staples,500,gm,185,133,28.11
67,Sambhar Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,47,45,4.26
68,Chhole Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,63,60,4.76
69,Kitchen King Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,65,62,4.62
70,Pav Bhaji Masala Powder Everest 100 Gms,storese,Grocery & Staples,100,gm,66,63,4.55
71,Amchur Powder Everest Dry mango 100 Gms,storese,Grocery & Staples,100,gm,70,67,4.29
72,Batter Idly and Dosa Paaka 1Kg,storese,Grocery & Staples,1,kg,75,71,5.33
73,Sambar Powder MTR-200 Gms,storese,Grocery & Staples,200,gm,90,86,4.44
74,Rice Tamarind/ Puliagare Paste MTR 200 Gms,storese,Grocery & Staples,200,gm,90,86,4.44
75,Turmeric Powder Sparsh 500 Gms,storese,Grocery & Staples,500,gm,130,124,4.62
76,Chilli Powder Sparsh 500 Gms,storese,Grocery & Staples,500,gm,130,124,4.62
77,Sundrop Oil Heart 1 Ltr,storese,Grocery & Staples,1,ltr,210,209,0.48
78,Methi Staff Town 100 Gms,storese,Grocery & Staples,100,gm,10,9,10
79,Vermicelli Seviyan MTR 150 Gms,storese,Grocery & Staples,150,gm,16,15,6.25
80,Vermicelli Bambino 150 Gms,storese,Grocery & Staples,150,gm,16,15,6.25
81,Vermicelli Roasted Short Anil 180 Gms,storese,Grocery & Staples,180,gm,17,16,5.88
82,Methi 18 Carat Town 100 Gms,storese,Grocery & Staples,100,gm,18,16,11.11
83,Mustard Oil Town 165ml,storese,Grocery & Staples,165,ml,65,52,20
84,Maida Staff Town 500 Gms,storese,Grocery & Staples,500,gm,20,18,10
85,Sada Sorshe Town 100 Gms,storese,Grocery & Staples,100,gm,20,18,10
86,Methi Organic Town 100Gms,storese,Grocery & Staples,100,gm,21,19,9.52
87,Mustard (Big) Town 100 Gms,storese,Grocery & Staples,100,gm,23,21,8.7
88,Salt Powder 24 Carat Town 1 Kg,storese,Grocery & Staples,1,kg,23,21,8.7
89,Mustard Black Organic Town 100 g,storese,Grocery & Staples,100,gm,24,22,8.33
90,Maida Town 500 Gms,storese,Grocery & Staples,500,gm,26,23,11.54
91,Sugar Bura Town 200 Gms,storese,Grocery & Staples,200,gm,25,23,8
92,Mustard Yellow Town 100 Gms,storese,Grocery & Staples,100,gm,26,23,11.54
