,Product_Category,Product_Name,Regular_Price,Sale_Price
0,grocery-and-staples,Chakki Atta Aashirvaad 10 Kg,480,450
1,grocery-and-staples,Atta Multi grain Aashirvaad 5 Kg,310,295
2,grocery-and-staples,Whole Wheat Atta Aashirvaad Select 5Kg,300,285
3,grocery-and-staples,Atta sugar release control Aashirvaad 1 kg,64,61
4,grocery-and-staples,Atta Multi grain Aashirvaad 1 kg,62,59
5,grocery-and-staples,Sunflower Oil  Dhara 5 Ltr,675,674
6,grocery-and-staples,Rice Bran Oil PATANJALI 1 Ltr,115,109
7,grocery-and-staples,Sunflower Oil Fortune 1 Ltr,132,124
8,grocery-and-staples,Soya Oil Fortune 1 Ltr,135,124
9,grocery-and-staples,Rice Bran Health Oil Fortune 1 Ltr,130,124
10,grocery-and-staples,Sunflower Oil-1ltr-Sunpure-Home,125,124
11,grocery-and-staples,Oil Tasty Losorb Saffola 1 Ltr,120,114
12,grocery-and-staples,Sunflower Oil Dhara 1 Ltr,130,129
13,grocery-and-staples,Sugar Town 24Crt 1 Kg,60,54
14,grocery-and-staples,Sugar Town 18Crt 1 Kg,52,47
15,grocery-and-staples,Salt Powder Tata 1 Kg,19,18
16,grocery-and-staples,salt Iodized Aashirvaad 1 kg,19,18
17,grocery-and-staples,Salt Powder Lite (Low Sodium) Tata 1 Kg,35,33
18,grocery-and-staples,Rice Dosa Town 1kg,53,48
19,grocery-and-staples,Rice Idly staff Town 1 Kg,54,49
20,grocery-and-staples,Rice Idly Lb 10 Town 1 Kg,60,54
21,grocery-and-staples,Rice Idly Car (Salem Rice) Town 1 Kg,66,59
22,grocery-and-staples,Rice Raw Staff Town 1 Kg,85,77
23,grocery-and-staples,Rice Sona Raw 18 Carat Town 1 Kg,90,81
24,grocery-and-staples,Rice Sona Raw 24 Carat Town 1 Kg,94,85
25,grocery-and-staples,Rice Bullet (Kolam) Town 18 Crt 1 Kg,104,94
26,grocery-and-staples,Rice Sona Raw Unpolished Organic Town 1 Kg,106,95
27,grocery-and-staples,Rice Basmathi 18 Carat Town 1 Kg,186,167
28,grocery-and-staples,Rice Sona Raw 18 Carat Town 5 Kg,419,377
29,grocery-and-staples,Rice Staff Town 25 Kg,1350,1215
30,grocery-and-staples,Unpolished Toor Dal Prasastha 1Kg,140,133
31,grocery-and-staples,Moong dal 24 Mantra organic 1 kg,190,181
32,grocery-and-staples,Toor Dal 24 Carat Town 1 Kg,160,144
33,grocery-and-staples,Moong Dal 24 Carat Town 1 Kg,155,140
34,grocery-and-staples,Gram Dal 24 Carat Town 250 Gms,31,28
35,grocery-and-staples,Moong Dal Staff Town 250 Gms,35,32
36,grocery-and-staples,Masoor Dal 24 Carat Town 250 Gms,39,35
37,grocery-and-staples,Moong Dal 18 Carat Town 250 Gms,40,36
38,grocery-and-staples,Masoor Dal Organic Town 250 Gms,50,45
39,grocery-and-staples,Toor Dal 24 Carat Town 500 Gms,68,61
40,grocery-and-staples,Urad Dal 24 Carat Town 500 Gms,70,63
41,grocery-and-staples,Channa Dal Organic Town 500 Gms,99,89
42,grocery-and-staples,Moosor Dal Bodi Town 250 Gms,156,140
43,grocery-and-staples,Vangi bhath Masala Powder MTR-100gms,46,44
44,grocery-and-staples,Honey patanjali 250 gram,75,71
45,grocery-and-staples,Kashmiri Mirch Powder Catch 100Gms,50,48
46,grocery-and-staples,Chana Masala Powder MDH 100 Gms,62,59
47,grocery-and-staples,Chunky chat Sabzi Masala Powder(Multi Purpose) MDH 100 Gms,50,48
48,grocery-and-staples,Kashmiri Mirch Chilli Powder MDH 100 Gms,56,53
49,grocery-and-staples,Deggi Mirch Chilli Powder MDH 100 Gms,56,53
50,grocery-and-staples,Curry Powder MDH 100 Gms,57,54
51,grocery-and-staples,Chat Chunky Masala MDH 100 Gms,62,59
52,grocery-and-staples,Cumin Powder MDH 100 Grams,67,60
53,grocery-and-staples,Pav Bhaji Masala Powder MDH 100 Gms,64,61
54,grocery-and-staples,Chicken Masala Powder MDH 100 Gms,65,62
55,grocery-and-staples,Kitchen King (Mixed Spices Powder) MDH 100 Gms,66,63
56,grocery-and-staples,Meat Ka Masala Powder (Mutton) MDH 100 Gms,68,65
57,grocery-and-staples,Cumin (Jeera) Powder Everest 100 Gms,51,48
58,grocery-and-staples,Chaat Masala Powder Everest 100 Gms,62,59
59,grocery-and-staples,Dry Ginger Powder Everest 100 Gms,72,59
60,grocery-and-staples,kasuri methi Everest 100 Gms,84,60
61,grocery-and-staples,Meat Masala Powder Everest 100 Gms,72,68
62,grocery-and-staples,Chicken Masala Powder Everest 100 Gms,72,68
63,grocery-and-staples,Garam Masala Powder Everest 100 Gms,78,74
64,grocery-and-staples,Coriander Powder Everest 500 Gms,135,124
65,grocery-and-staples,Turmeric Powder Everest 500 Gms,135,124
66,grocery-and-staples,Tikhalal (Red Chilli Powder) Everest 500 Gms,185,133
67,grocery-and-staples,Sambhar Masala Powder Everest 100 Gms,47,45
68,grocery-and-staples,Chhole Masala Powder Everest 100 Gms,63,60
69,grocery-and-staples,Kitchen King Masala Powder Everest 100 Gms,65,62
70,grocery-and-staples,Pav Bhaji Masala Powder Everest 100 Gms,66,63
71,grocery-and-staples,Amchur Powder Everest Dry mango 100 Gms,70,67
72,grocery-and-staples,Batter Idly and Dosa Paaka 1Kg,75,71
73,grocery-and-staples,Sambar Powder MTR-200 Gms,90,86
